iter,PID,start,end,instance,activation
0,5840,9426.594698362,9426.601001123,0,1
1,5840,9426.694692476,9426.703814318,0,1
2,5840,9426.794688567,9426.805552495,0,1
3,5840,9426.894690023,9426.906971388,0,1
4,5840,9426.994692389,9427.005841950,0,1
5,5840,9427.094690840,9427.106353158,0,1
6,5840,9427.194687927,9427.205423746,0,1
7,5840,9427.294691854,9427.305832353,0,1
8,5840,9427.394687285,9427.406324382,0,1
9,5840,9427.494688308,9427.507129555,0,1
10,5840,9427.594688617,9427.607889365,0,1
11,5840,9427.694692071,9427.708459854,0,1
12,5840,9427.794691151,9427.808943687,0,1
13,5840,9427.894691610,9427.906256608,0,1
14,5840,9427.994688867,9428.006014618,0,1
15,5840,9428.094684813,9428.107877064,0,1
16,5840,9428.194687782,9428.208045414,0,1
17,5840,9428.294691598,9428.305909684,0,1
18,5840,9428.394688034,9428.405594731,0,1
19,5840,9428.494692649,9428.513279612,0,1
20,5840,9428.594690707,9428.606869657,0,1
21,5840,9428.694690560,9428.707312236,0,1
22,5840,9428.794691479,9428.810535863,0,1
23,5840,9428.894688604,9428.918148700,0,1
24,5840,9428.994690151,9429.007243015,0,1
25,5840,9429.094690994,9429.108427777,0,1
26,5840,9429.194690502,9429.206760212,0,1
27,5840,9429.294691491,9429.306673800,0,1
28,5840,9429.394692212,9429.409038135,0,1
29,5840,9429.494654782,9429.508319281,0,1
30,5840,9429.594689397,9429.610174306,0,1
31,5840,9429.694725115,9429.694726400,0,0
32,5840,9429.794687401,9429.806023745,0,1
33,5840,9429.894690057,9429.916858047,0,1
34,5840,9429.994690863,9430.006906200,0,1
35,5840,9430.094693236,9430.106799665,0,1
36,5840,9430.194692107,9430.211158016,0,1
37,5840,9430.294691902,9430.306369506,0,1
38,5840,9430.394693204,9430.407514267,0,1
39,5840,9430.494692184,9430.510112341,0,1
40,5840,9430.594690886,9430.606855464,0,1
41,5840,9430.694691006,9430.708365894,0,1
42,5840,9430.794689277,9430.806165740,0,1
43,5840,9430.894689656,9430.911503167,0,1
44,5840,9430.994688951,9431.006795321,0,1
45,5840,9431.094690914,9431.107691420,0,1
46,5840,9431.194690338,9431.218474050,0,1
47,5840,9431.294691784,9431.318290914,0,1
48,5840,9431.394693881,9431.418485536,0,1
49,5840,9431.494689740,9431.518831813,0,1
50,5840,9431.594690961,9431.616268554,0,1
51,5840,9431.694690271,9431.709798587,0,1
52,5840,9431.794663194,9431.808996038,0,1
53,5840,9431.894689480,9431.906661612,0,1
54,5840,9431.994688666,9432.006034855,0,1
55,5840,9432.094689317,9432.106265329,0,1
56,5840,9432.194689727,9432.208400092,0,1
57,5840,9432.294690566,9432.310146182,0,1
58,5840,9432.394689758,9432.407919034,0,1
59,5840,9432.494687856,9432.508330652,0,1
60,5840,9432.594690545,9432.606868607,0,1
61,5840,9432.694690548,9432.707207083,0,1
62,5840,9432.794694084,9432.807071030,0,1
63,5840,9432.894691487,9432.906733132,0,1
64,5840,9432.994690885,9433.018270673,0,1
65,5840,9433.094691822,9433.118643453,0,1
66,5840,9433.194693383,9433.218633963,0,1
67,5840,9433.294690459,9433.305924722,0,1
68,5840,9433.394688882,9433.406335966,0,1
69,5840,9433.494691311,9433.511102329,0,1
70,5840,9433.594689658,9433.606269809,0,1
71,5840,9433.694689928,9433.706752348,0,1
72,5840,9433.794693600,9433.808466879,0,1
73,5840,9433.894682069,9433.894685524,0,0
74,5840,9433.994690143,9434.007479595,0,1
75,5840,9434.094690991,9434.106810709,0,1
76,5840,9434.194688739,9434.206469263,0,1
77,5840,9434.294689312,9434.306094217,0,1
78,5840,9434.394688768,9434.405868544,0,1
79,5840,9434.494689352,9434.506809610,0,1
80,5840,9434.594688904,9434.608858206,0,1
81,5840,9434.694693373,9434.707800731,0,1
82,5840,9434.794692926,9434.807251026,0,1
83,5840,9434.894671972,9434.909220580,0,1
84,5840,9434.994690076,9435.008341913,0,1
85,5840,9435.094689362,9435.107636351,0,1
86,5840,9435.194691575,9435.215508030,0,1
87,5840,9435.294689856,9435.309292249,0,1
88,5840,9435.394688263,9435.408469226,0,1
89,5840,9435.494772340,9435.494773388,0,0
90,5840,9435.594691919,9435.616882442,0,1
91,5840,9435.694692768,9435.706822731,0,1
92,5840,9435.794688546,9435.808450999,0,1
93,5840,9435.894690830,9435.914422502,0,1
94,5840,9435.994709531,9436.007141202,0,1
95,5840,9436.094691933,9436.094693471,0,0
96,5840,9436.194690114,9436.208050275,0,1
97,5840,9436.294689634,9436.309987613,0,1
98,5840,9436.394691326,9436.411772489,0,1
99,5840,9436.494690121,9436.511759102,0,1
