iter,PID,start,end,instance,activation
0,20296,4179.947880900,4179.952057483,0,0
1,20296,4179.957944767,4179.960085933,0,0
2,20296,4179.967940240,4179.969487267,0,0
3,20296,4179.977937157,4179.979524069,0,0
4,20296,4179.987937693,4179.989582047,0,0
5,20296,4179.997937597,4179.999398256,0,0
6,20296,4180.007938626,4180.009307760,0,0
7,20296,4180.017932943,4180.019152566,0,0
8,20296,4180.027935999,4180.029199971,0,0
9,20296,4180.037937869,4180.039899606,0,0
10,20296,4180.047951211,4180.049586898,0,0
11,20296,4180.057937471,4180.059397488,0,0
12,20296,4180.067941888,4180.070203824,0,0
13,20296,4180.077971198,4180.079940541,0,0
14,20296,4180.087939146,4180.089853143,0,0
15,20296,4180.097940239,4180.100078200,0,0
16,20296,4180.107940979,4180.110081480,0,0
17,20296,4180.117938634,4180.119901083,0,0
18,20296,4180.127938646,4180.130038063,0,0
19,20296,4180.137966401,4180.139585470,0,0
20,20296,4180.147940035,4180.153575633,0,0
21,20296,4180.157938151,4180.163015186,0,0
22,20296,4180.167940904,4180.171463428,0,0
23,20296,4180.177938599,4180.183058235,0,0
24,20296,4180.187938216,4180.190880631,0,0
25,20296,4180.197935887,4180.201277998,0,0
26,20296,4180.207933659,4180.210460394,0,0
27,20296,4180.217939877,4180.230419004,0,1
28,20296,4180.230432715,4180.231299777,0,1
29,20296,4180.237938021,4180.238235702,0,1
30,20296,4180.247953820,4180.248687053,0,1
31,20296,4180.257934528,4180.258648077,0,1
32,20296,4180.267934977,4180.268585259,0,1
33,20296,4180.277934836,4180.278523470,0,1
34,20296,4180.287933574,4180.288455997,0,1
35,20296,4180.297937521,4180.298604060,0,1
36,20296,4180.307939363,4180.308869991,0,1
37,20296,4180.317940304,4180.318801079,0,1
38,20296,4180.327937588,4180.328594832,0,1
39,20296,4180.337934310,4180.338458081,0,1
40,20296,4180.347936270,4180.348711562,0,1
41,20296,4180.357936952,4180.358856261,0,1
42,20296,4180.367937257,4180.368820860,0,1
43,20296,4180.377937352,4180.378429237,0,1
44,20296,4180.387920638,4180.388741850,0,1
45,20296,4180.397936474,4180.398704653,0,1
46,20296,4180.407935168,4180.408741654,0,1
47,20296,4180.417917580,4180.418505130,0,1
48,20296,4180.427937611,4180.428442700,0,1
49,20296,4180.437911265,4180.438464351,0,1
50,20296,4180.447936097,4180.448739375,0,1
51,20296,4180.457936990,4180.458734986,0,1
52,20296,4180.467937015,4180.468780971,0,1
53,20296,4180.477938113,4180.478422006,0,1
54,20296,4180.487959809,4180.488505420,0,1
55,20296,4180.497935556,4180.498505941,0,1
56,20296,4180.507934591,4180.508474853,0,1
57,20296,4180.517944931,4180.518690676,0,1
58,20296,4180.527936903,4180.528747014,0,1
59,20296,4180.537936159,4180.538447087,0,1
60,20296,4180.547935162,4180.548356338,0,1
61,20296,4180.557932549,4180.558348769,0,1
