iter,PID,start,end,instance,activation
0,20291,4177.885878103,4177.892540602,0,0
1,20291,4177.895936742,4177.903495282,0,0
2,20291,4177.905937686,4177.913783921,0,0
3,20291,4177.915936392,4177.923115680,0,0
4,20291,4177.925934992,4177.929352564,0,0
5,20291,4177.935936764,4177.939056134,0,0
6,20291,4177.945936578,4177.948445911,0,0
7,20291,4177.955940648,4177.959077921,0,0
8,20291,4177.965934061,4177.968251036,0,0
9,20291,4177.975942184,4177.978416110,0,0
10,20291,4177.985942398,4177.988355009,0,0
11,20291,4177.995957601,4177.998425694,0,0
12,20291,4178.005937261,4178.008923452,0,0
13,20291,4178.015925795,4178.020201493,0,0
14,20291,4178.025943103,4178.030890663,0,0
15,20291,4178.035935177,4178.042794766,0,0
16,20291,4178.045935464,4178.048397339,0,0
17,20291,4178.055935051,4178.059127319,0,0
18,20291,4178.065937024,4178.069444916,0,0
19,20291,4178.075937662,4178.079205749,0,0
20,20291,4178.085933104,4178.089641968,0,0
21,20291,4178.095939841,4178.098414354,0,0
22,20291,4178.105936082,4178.109019559,0,0
23,20291,4178.115936814,4178.118694826,0,0
24,20291,4178.125950100,4178.128312173,0,0
25,20291,4178.135934201,4178.138762364,0,0
26,20291,4178.145934919,4178.148860603,0,0
27,20291,4178.155935803,4178.161166028,0,0
28,20291,4178.165937062,4178.170469554,0,0
29,20291,4178.175935703,4178.179667045,0,0
30,20291,4178.185935300,4178.188389194,0,0
31,20291,4178.195935599,4178.198609695,0,0
32,20291,4178.205936982,4178.209011670,0,0
33,20291,4178.215935175,4178.219253383,0,0
34,20291,4178.225934151,4178.228670201,0,0
35,20291,4178.235956361,4178.238398609,0,0
36,20291,4178.245935578,4178.248937854,0,0
37,20291,4178.255936501,4178.259691000,0,0
38,20291,4178.265934643,4178.269788066,0,0
39,20291,4178.275936043,4178.278832596,0,0
40,20291,4178.285934582,4178.289320633,0,0
41,20291,4178.295938896,4178.299247012,0,0
42,20291,4178.305933045,4178.309498340,0,0
43,20291,4178.315935509,4178.320964814,0,0
44,20291,4178.325927525,4178.328245436,0,0
45,20291,4178.335935228,4178.338555099,0,0
46,20291,4178.346078430,4178.348960177,0,0
47,20291,4178.356037114,4178.360966503,0,0
48,20291,4178.365936432,4178.369517315,0,0
49,20291,4178.375934752,4178.378184426,0,0
50,20291,4178.385935533,4178.388924853,0,0
51,20291,4178.395932827,4178.397944247,0,0
52,20291,4178.405940075,4178.408240315,0,0
53,20291,4178.415933402,4178.419468873,0,0
54,20291,4178.425933434,4178.428316241,0,0
55,20291,4178.435935205,4178.439268489,0,0
56,20291,4178.445936371,4178.448506850,0,0
57,20291,4178.455938186,4178.459168534,0,0
58,20291,4178.465935432,4178.469065573,0,0
59,20291,4178.475936074,4178.480197816,0,0
60,20291,4178.485934204,4178.490448858,0,0
61,20291,4178.495973989,4178.498243122,0,0
62,20291,4178.505892485,4178.508988835,0,0
63,20291,4178.515935788,4178.520420456,0,0
64,20291,4178.525936053,4178.529501272,0,0
65,20291,4178.535960588,4178.549750594,0,0
66,20291,4178.549774305,4178.553290663,0,0
67,20291,4178.555944065,4178.561308919,0,0
68,20291,4178.565937503,4178.569627804,0,0
69,20291,4178.575936767,4178.578693668,0,0
70,20291,4178.585937162,4178.589023205,0,0
71,20291,4178.595936764,4178.599017680,0,0
72,20291,4178.605938254,4178.609821490,0,0
73,20291,4178.616067917,4178.619211944,0,0
74,20291,4178.625935614,4178.628829618,0,0
75,20291,4178.635936073,4178.638856989,0,0
76,20291,4178.645966520,4178.649850152,0,0
77,20291,4178.655934273,4178.659060540,0,0
78,20291,4178.665944148,4178.668825702,0,0
79,20291,4178.675938116,4178.680280868,0,0
80,20291,4178.685936432,4178.689251019,0,0
81,20291,4178.695937206,4178.698781253,0,0
82,20291,4178.705937717,4178.708969513,0,0
83,20291,4178.715932805,4178.718446158,0,0
84,20291,4178.725934741,4178.728447007,0,0
85,20291,4178.735955858,4178.738326643,0,0
86,20291,4178.745936436,4178.748444448,0,0
87,20291,4178.755934779,4178.762311852,0,0
88,20291,4178.766350895,4178.771574294,0,0
89,20291,4178.775942483,4178.780838661,0,1
90,20291,4178.785934027,4178.788976055,0,1
91,20291,4178.795939892,4178.798248858,0,1
92,20291,4178.805933691,4178.809320582,0,1
93,20291,4178.815935351,4178.818672722,0,1
94,20291,4178.825962936,4178.828528185,0,1
95,20291,4178.835936943,4178.838659455,0,1
96,20291,4178.845935631,4178.851688688,0,1
97,20291,4178.855936297,4178.858883808,0,1
98,20291,4178.865934522,4178.868276174,0,1
99,20291,4178.875933801,4178.877545970,0,1
100,20291,4178.885933112,4178.887642380,0,1
101,20291,4178.895932644,4178.897738570,0,1
102,20291,4178.905933674,4178.908420573,0,1
103,20291,4178.915934932,4178.918367931,0,1
104,20291,4178.925935739,4178.927979286,0,1
105,20291,4178.935936908,4178.937869323,0,1
106,20291,4178.945933805,4178.947620627,0,1
107,20291,4178.955934768,4178.958799865,0,1
108,20291,4178.965937173,4178.968484418,0,1
109,20291,4178.975934054,4178.978651681,0,1
110,20291,4178.985968822,4178.987668153,0,1
111,20291,4178.995935157,4178.997965221,0,1
112,20291,4179.005932932,4179.008250618,0,1
113,20291,4179.015933000,4179.018089068,0,1
114,20291,4179.025957721,4179.027826949,0,1
115,20291,4179.035933010,4179.037822483,0,1
116,20291,4179.045934780,4179.047762594,0,1
117,20291,4179.055934773,4179.057743566,0,1
118,20291,4179.065933413,4179.067702805,0,1
119,20291,4179.075934721,4179.077760278,0,1
120,20291,4179.085931870,4179.087452550,0,1
121,20291,4179.095935305,4179.097703040,0,1
122,20291,4179.105933486,4179.107663935,0,1
123,20291,4179.115932304,4179.117880131,0,1
124,20291,4179.125933881,4179.128065557,0,1
125,20291,4179.135934799,4179.137662010,0,1
126,20291,4179.145933374,4179.147858216,0,1
127,20291,4179.156050478,4179.158583361,0,1
