iter,PID,start,end,instance,activation
0,20988,4243.145718058,4243.145725664,0,0
1,20988,4243.179116575,4243.179119503,0,0
2,20988,4243.212467831,4243.212470513,0,0
3,20988,4243.245774247,4243.245776543,0,0
4,20988,4243.279109250,4243.279111625,0,0
5,20988,4243.312420094,4243.312425200,0,0
6,20988,4243.345778356,4243.345781116,0,0
7,20988,4243.379884772,4243.380079711,0,0
8,20988,4243.412440968,4243.412514746,0,0
9,20988,4243.445775272,4243.446204056,6065,1
10,20988,4243.479109918,4243.479201284,6065,0
11,20988,4243.512440711,4243.512505801,6065,0
12,20988,4243.545800098,4243.546094102,6066,1
13,20988,4243.579112433,4243.579215555,6066,0
14,20988,4243.612472492,4243.612540328,6066,0
15,20988,4243.645775820,4243.646065626,6067,1
16,20988,4243.679143348,4243.679217989,6067,0
17,20988,4243.712440872,4243.712496415,6067,0
18,20988,4243.745774477,4243.746064412,6068,1
19,20988,4243.779107812,4243.779171394,6068,0
20,20988,4243.812441332,4243.812508032,6068,0
21,20988,4243.845776019,4243.846160347,6069,1
22,20988,4243.879107270,4243.879172693,6069,0
23,20988,4243.912439084,4243.912504265,6069,0
24,20988,4243.945773549,4243.946025614,6070,1
25,20988,4243.979108454,4243.979201167,6070,0
26,20988,4244.012443510,4244.012576945,6070,0
27,20988,4244.045775767,4244.046082919,6071,1
28,20988,4244.079107342,4244.079191091,6071,0
29,20988,4244.112465680,4244.112522867,6071,0
30,20988,4244.145773752,4244.147131112,6072,1
31,20988,4244.179109262,4244.179204250,6072,0
32,20988,4244.212441850,4244.212537144,6072,0
33,20988,4244.245774118,4244.246060502,6073,1
34,20988,4244.279107585,4244.279195557,6073,0
35,20988,4244.312440196,4244.312527023,6073,0
36,20988,4244.345775208,4244.346060240,6074,1
37,20988,4244.379108803,4244.379201230,6074,0
38,20988,4244.412440728,4244.412516770,6074,0
39,20988,4244.445777554,4244.446140105,6075,1
40,20988,4244.479107151,4244.479198001,6075,0
41,20988,4244.512450521,4244.512539910,6075,0
42,20988,4244.545775479,4244.546048720,6076,1
43,20988,4244.579107074,4244.579201126,6076,0
44,20988,4244.612442267,4244.612533817,6076,0
45,20988,4244.645777175,4244.646176442,6077,1
46,20988,4244.679106447,4244.679172340,6077,0
47,20988,4244.712443205,4244.712516366,6077,0
48,20988,4244.745775086,4244.746064999,6078,1
49,20988,4244.779108483,4244.779201276,6078,0
50,20988,4244.812442595,4244.812528113,6078,0
51,20988,4244.845776420,4244.846042932,6079,1
52,20988,4244.879106053,4244.879170541,6079,0
53,20988,4244.912439556,4244.912490460,6079,0
54,20988,4244.945774470,4244.946083638,6080,1
55,20988,4244.979112862,4244.979211978,6080,0
56,20988,4245.012439552,4245.012502459,6080,0
57,20988,4245.045772626,4245.046050727,6081,1
58,20988,4245.079130727,4245.079193775,6081,0
59,20988,4245.112442065,4245.112513640,6081,0
60,20988,4245.145776441,4245.146937625,6082,1
61,20988,4245.179109528,4245.179188821,6082,0
62,20988,4245.212445323,4245.212537394,6082,0
63,20988,4245.245773334,4245.246082571,6083,1
64,20988,4245.279107618,4245.279175498,6083,0
65,20988,4245.312442209,4245.312512837,6083,0
66,20988,4245.345777207,4245.346082458,6084,1
67,20988,4245.379108678,4245.379201858,6084,0
68,20988,4245.412443060,4245.412540626,6084,0
69,20988,4245.445775066,4245.446145066,6085,1
70,20988,4245.479111402,4245.479216914,6085,0
71,20988,4245.512439325,4245.512489334,6085,0
72,20988,4245.545776605,4245.546238927,6086,1
73,20988,4245.579110883,4245.579231362,6086,0
74,20988,4245.612442758,4245.612555827,6086,0
75,20988,4245.645807675,4245.646122566,6087,1
76,20988,4245.679106624,4245.679188583,6087,0
77,20988,4245.712442431,4245.712495610,6087,0
78,20988,4245.745777787,4245.746094424,6088,1
79,20988,4245.779107146,4245.779183255,6088,0
80,20988,4245.812442113,4245.812509254,6088,0
81,20988,4245.845775682,4245.846082824,6089,1
82,20988,4245.879105040,4245.879167111,6089,0
83,20988,4245.912441165,4245.912504152,6089,0
84,20988,4245.945776504,4245.946057043,6090,1
85,20988,4245.979108259,4245.979183360,6090,0
86,20988,4246.012442662,4246.012511005,6090,0
87,20988,4246.045774972,4246.046094992,6091,1
88,20988,4246.079106109,4246.079170159,6091,0
89,20988,4246.112440670,4246.112498448,6091,0
