iter,PID,start,end,instance,activation
0,5828,9418.656206319,9418.658733977,0,1
1,5828,9418.756143253,9418.758438115,0,1
2,5828,9418.856143935,9418.859083327,0,1
3,5828,9418.956143061,9418.959411735,0,1
4,5828,9419.056150307,9419.058379133,0,1
5,5828,9419.156139578,9419.157999224,0,1
6,5828,9419.256142852,9419.258709800,0,1
7,5828,9419.356141216,9419.356144868,0,0
8,5828,9419.456141827,9419.458279929,0,1
9,5828,9419.556139911,9419.558970807,0,1
10,5828,9419.656149933,9419.659673809,0,1
11,5828,9419.756144662,9419.758211501,0,1
12,5828,9419.856141615,9419.858545469,0,1
13,5828,9419.956140050,9419.956141991,0,0
14,5828,9420.056137031,9420.057753566,0,1
15,5828,9420.156140353,9420.158390317,0,1
16,5828,9420.256141680,9420.256145773,0,0
17,5828,9420.356140766,9420.357726353,0,1
18,5828,9420.456142162,9420.458497160,0,1
19,5828,9420.556141768,9420.558566407,0,1
20,5828,9420.656142253,9420.659162678,0,1
21,5828,9420.756141348,9420.759065875,0,1
22,5828,9420.856144908,9420.858601875,0,1
23,5828,9420.956143114,9420.956146347,0,0
24,5828,9421.056144186,9421.058459354,0,1
25,5828,9421.156142760,9421.157653823,0,1
26,5828,9421.256150050,9421.258423388,0,1
27,5828,9421.356142943,9421.358016423,0,1
28,5828,9421.456142668,9421.458373570,0,1
29,5828,9421.556142856,9421.556643043,0,0
30,5828,9421.656143097,9421.658541510,0,1
31,5828,9421.756138641,9421.757627061,0,1
32,5828,9421.856139292,9421.858726487,0,1
33,5828,9421.956139852,9421.957769191,0,1
34,5828,9422.056168173,9422.058424182,0,1
35,5828,9422.156146823,9422.157813428,0,1
36,5828,9422.256140765,9422.256145262,0,0
37,5828,9422.356144345,9422.358109940,0,1
38,5828,9422.456140830,9422.457745378,0,1
39,5828,9422.556144890,9422.560007082,0,1
40,5828,9422.656148880,9422.659295357,0,1
41,5828,9422.756096336,9422.758050839,0,1
42,5828,9422.856141780,9422.858037956,0,1
43,5828,9422.956143011,9422.956146266,0,0
44,5828,9423.056140111,9423.058521661,0,1
45,5828,9423.156137762,9423.157737997,0,1
46,5828,9423.256138104,9423.258435868,0,1
47,5828,9423.356139401,9423.357832895,0,1
48,5828,9423.456140183,9423.457848580,0,1
49,5828,9423.556144503,9423.559657233,0,1
50,5828,9423.656142018,9423.657869122,0,1
51,5828,9423.756140264,9423.758572940,0,1
52,5828,9423.856173081,9423.857741983,0,1
53,5828,9423.956139468,9423.956142188,0,0
54,5828,9424.056136376,9424.057606023,0,1
55,5828,9424.156143651,9424.157978406,0,1
56,5828,9424.256147411,9424.259097136,0,1
57,5828,9424.356141738,9424.358853998,0,1
58,5828,9424.456166052,9424.457982205,0,1
59,5828,9424.556137160,9424.558646675,0,1
60,5828,9424.656139354,9424.657712103,0,1
61,5828,9424.756138699,9424.757571729,0,1
62,5828,9424.857787125,9424.860047322,0,1
63,5828,9424.956141207,9424.957763109,0,1
64,5828,9425.056141598,9425.059173108,0,1
65,5828,9425.156140718,9425.158865403,0,1
66,5828,9425.256138369,9425.258387570,0,1
67,5828,9425.356141149,9425.357736024,0,1
68,5828,9425.456140844,9425.459125514,0,1
69,5828,9425.556145411,9425.559674956,0,1
70,5828,9425.656149374,9425.659355549,0,1
71,5828,9425.756142414,9425.757788620,0,1
72,5828,9425.856139626,9425.858401467,0,1
73,5828,9425.956137696,9425.956139055,0,0
74,5828,9426.056164226,9426.057602000,0,1
75,5828,9426.156094894,9426.157499079,0,1
76,5828,9426.256142884,9426.258428579,0,1
77,5828,9426.356140785,9426.359854025,0,1
78,5828,9426.456140591,9426.458442629,0,1
79,5828,9426.556139226,9426.559114949,0,1
80,5828,9426.656139650,9426.657847708,0,1
81,5828,9426.756140580,9426.759019470,0,1
82,5828,9426.856139081,9426.858094968,0,1
83,5828,9426.956141808,9426.958197141,0,1
84,5828,9427.056142061,9427.058193900,0,1
85,5828,9427.156139266,9427.158000912,0,1
86,5828,9427.256137450,9427.258285013,0,1
87,5828,9427.356137362,9427.358274890,0,1
88,5828,9427.456141361,9427.458359020,0,1
89,5828,9427.556137889,9427.558380510,0,1
90,5828,9427.656167252,9427.658335651,0,1
91,5828,9427.756136549,9427.757821289,0,1
92,5828,9427.856140332,9427.857905478,0,1
93,5828,9427.956142213,9427.958433494,0,1
94,5828,9428.056137468,9428.057617854,0,1
95,5828,9428.156137933,9428.157681975,0,1
96,5828,9428.256140864,9428.257879141,0,1
97,5828,9428.356139472,9428.357674947,0,1
98,5828,9428.456139708,9428.458847747,0,1
99,5828,9428.556139102,9428.558332766,0,1
100,5828,9428.656138754,9428.658572140,0,1
101,5828,9428.756140505,9428.758511029,0,1
102,5828,9428.856139723,9428.857807175,0,1
103,5828,9428.956140797,9428.957811546,0,1
104,5828,9429.056139675,9429.057903613,0,1
105,5828,9429.156143885,9429.159090386,0,1
106,5828,9429.256138427,9429.258573724,0,1
107,5828,9429.356140512,9429.357708818,0,1
108,5828,9429.456173906,9429.458725522,0,1
109,5828,9429.556138129,9429.556495876,0,0
110,5828,9429.656138183,9429.658269148,0,1
111,5828,9429.756139177,9429.758194385,0,1
112,5828,9429.856138495,9429.857741431,0,1
113,5828,9429.956169985,9429.957833055,0,1
114,5828,9430.056142845,9430.058291545,0,1
115,5828,9430.156139154,9430.157577075,0,1
116,5828,9430.256136859,9430.258340155,0,1
117,5828,9430.356157812,9430.357837922,0,1
118,5828,9430.456140427,9430.458299667,0,1
119,5828,9430.556140312,9430.558132542,0,1
120,5828,9430.656137730,9430.657938514,0,1
121,5828,9430.756144108,9430.757958862,0,1
122,5828,9430.856143791,9430.857973504,0,1
123,5828,9430.956179928,9430.958330704,0,1
124,5828,9431.056137678,9431.057852270,0,1
125,5828,9431.156138755,9431.157921339,0,1
126,5828,9431.256136109,9431.257961162,0,1
127,5828,9431.356143259,9431.357995381,0,1
128,5828,9431.456139575,9431.457936158,0,1
129,5828,9431.556150153,9431.557962530,0,1
130,5828,9431.656138892,9431.657937337,0,1
131,5828,9431.756142232,9431.758911407,0,1
132,5828,9431.856139282,9431.858114070,0,1
133,5828,9431.956141288,9431.959242693,0,1
134,5828,9432.056140004,9432.057866243,0,1
135,5828,9432.156144681,9432.158303655,0,1
136,5828,9432.256139959,9432.258940186,0,1
137,5828,9432.356091219,9432.358064574,0,1
138,5828,9432.456139821,9432.458602656,0,1
139,5828,9432.556139459,9432.559296692,0,1
140,5828,9432.656137145,9432.657884930,0,1
141,5828,9432.756137087,9432.757703800,0,1
142,5828,9432.856145743,9432.858104063,0,1
143,5828,9432.956174097,9432.958116715,0,1
144,5828,9433.056137079,9433.058440229,0,1
145,5828,9433.156139295,9433.158375995,0,1
146,5828,9433.256137940,9433.257828280,0,1
147,5828,9433.356139070,9433.358018549,0,1
148,5828,9433.456137940,9433.457904904,0,1
149,5828,9433.556137269,9433.558298277,0,1
150,5828,9433.656136163,9433.657688361,0,1
151,5828,9433.756138816,9433.756140993,0,0
152,5828,9433.856139235,9433.859464196,0,1
153,5828,9433.956091386,9433.958162796,0,1
154,5828,9434.056165077,9434.058146394,0,1
155,5828,9434.156139259,9434.158409094,0,1
156,5828,9434.256128831,9434.258496073,0,1
157,5828,9434.356168575,9434.357639565,0,1
158,5828,9434.456143399,9434.459057767,0,1
159,5828,9434.556139904,9434.559560666,0,1
160,5828,9434.656141372,9434.658437275,0,1
161,5828,9434.756139901,9434.758504665,0,1
162,5828,9434.856139957,9434.858065963,0,1
163,5828,9434.956139965,9434.959110526,0,1
164,5828,9435.056138379,9435.057922221,0,1
165,5828,9435.156140096,9435.158354787,0,1
166,5828,9435.256139135,9435.257978170,0,1
167,5828,9435.356143498,9435.356147332,0,0
168,5828,9435.456142079,9435.457914863,0,1
169,5828,9435.556139067,9435.557876035,0,1
170,5828,9435.659039994,9435.661229793,0,1
171,5828,9435.756136916,9435.758353057,0,1
172,5828,9435.856142786,9435.859010024,0,1
173,5828,9435.956142417,9435.956143626,0,0
174,5828,9436.056140694,9436.058569628,0,1
175,5828,9436.156120019,9436.157809793,0,1
176,5828,9436.256140305,9436.258455776,0,1
177,5828,9436.356140365,9436.358505750,0,1
178,5828,9436.456138312,9436.457914307,0,1
179,5828,9436.556143189,9436.559585920,0,1
180,5828,9436.656140530,9436.658113866,0,1
181,5828,9436.756140445,9436.758648272,0,1
182,5828,9436.856139260,9436.857591306,0,1
183,5828,9436.956140235,9436.958199590,0,1
184,5828,9437.056137116,9437.058660193,0,1
185,5828,9437.156138246,9437.158742159,0,1
186,5828,9437.256139097,9437.256140359,0,0
187,5828,9437.356141909,9437.357913840,0,1
188,5828,9437.456140908,9437.458302456,0,1
189,5828,9437.556139106,9437.558848166,0,1
190,5828,9437.656138309,9437.658438829,0,1
191,5828,9437.756141771,9437.758442475,0,1
192,5828,9437.856137828,9437.858180757,0,1
193,5828,9437.956138343,9437.957771201,0,1
194,5828,9438.056139607,9438.058383618,0,1
195,5828,9438.156139922,9438.157834083,0,1
196,5828,9438.256137297,9438.257853147,0,1
197,5828,9438.356142228,9438.357819414,0,1
198,5828,9438.456137583,9438.458097262,0,1
199,5828,9438.556140829,9438.559735666,0,1
200,5828,9438.656141458,9438.658362380,0,1
201,5828,9438.756142742,9438.758172426,0,1
202,5828,9438.856140415,9438.858514695,0,1
203,5828,9438.956141335,9438.958356184,0,1
204,5828,9439.056141464,9439.058936178,0,1
205,5828,9439.156139021,9439.158246535,0,1
206,5828,9439.257445373,9439.259608689,0,1
207,5828,9439.356139703,9439.358242186,0,1
208,5828,9439.456141747,9439.458891480,0,1
209,5828,9439.556139886,9439.558843245,0,1
210,5828,9439.656139465,9439.658057377,0,1
211,5828,9439.756138879,9439.758165424,0,1
212,5828,9439.856138911,9439.858824224,0,1
213,5828,9439.956136524,9439.958014213,0,1
214,5828,9440.056138353,9440.059380760,0,1
215,5828,9440.156138466,9440.158496266,0,1
216,5828,9440.256141601,9440.258971961,0,1
217,5828,9440.356140404,9440.358929033,0,1
218,5828,9440.456137413,9440.458948888,0,1
219,5828,9440.556137918,9440.558571837,0,1
220,5828,9440.656138657,9440.657816748,0,1
221,5828,9440.756138815,9440.758877336,0,1
222,5828,9440.856138232,9440.858210990,0,1
223,5828,9440.956140182,9440.956144316,0,0
224,5828,9441.056140043,9441.058262890,0,1
225,5828,9441.156142043,9441.158552250,0,1
226,5828,9441.256135762,9441.258681749,0,1
227,5828,9441.356141498,9441.358428978,0,1
228,5828,9441.456139448,9441.457786206,0,1
229,5828,9441.556137646,9441.558964135,0,1
230,5828,9441.656139625,9441.657634936,0,1
231,5828,9441.756139398,9441.758206533,0,1
232,5828,9441.856139941,9441.858731846,0,1
233,5828,9441.957334354,9441.958795940,0,1
234,5828,9442.056138943,9442.058111590,0,1
235,5828,9442.156142454,9442.157881929,0,1
236,5828,9442.256140523,9442.258226782,0,1
237,5828,9442.356139981,9442.358104445,0,1
238,5828,9442.456141648,9442.458568932,0,1
239,5828,9442.556140500,9442.558275768,0,1
240,5828,9442.656137757,9442.657951995,0,1
241,5828,9442.756139649,9442.757970564,0,1
242,5828,9442.856139788,9442.857997146,0,1
243,5828,9442.956140064,9442.958774064,0,1
244,5828,9443.056143267,9443.057632845,0,1
245,5828,9443.156138459,9443.158021232,0,1
246,5828,9443.256138323,9443.257958905,0,1
247,5828,9443.356142978,9443.358301474,0,1
248,5828,9443.456136221,9443.457512082,0,1
249,5828,9443.556138556,9443.557897527,0,1
250,5828,9443.656140974,9443.658545443,0,1
251,5828,9443.756143709,9443.759077514,0,1
252,5828,9443.856141661,9443.858447147,0,1
253,5828,9443.956136909,9443.957689131,0,1
254,5828,9444.056137899,9444.057743518,0,1
255,5828,9444.156139238,9444.157785321,0,1
256,5828,9444.256141693,9444.257825920,0,1
257,5828,9444.356862958,9444.358638751,0,1
258,5828,9444.456139082,9444.458462396,0,1
259,5828,9444.556167507,9444.558345774,0,1
260,5828,9444.656202060,9444.658528324,0,1
261,5828,9444.756138291,9444.757823024,0,1
262,5828,9444.856138578,9444.857799662,0,1
263,5828,9444.956136312,9444.958196365,0,1
264,5828,9445.056141100,9445.058421253,0,1
265,5828,9445.156142536,9445.159138276,0,1
266,5828,9445.256140774,9445.259397930,0,1
267,5828,9445.356140533,9445.359094141,0,1
268,5828,9445.456138740,9445.457844581,0,1
269,5828,9445.559038191,9445.562029599,0,1
270,5828,9445.656189288,9445.659160994,0,1
271,5828,9445.756137419,9445.758035071,0,1
272,5828,9445.856140358,9445.857912857,0,1
273,5828,9445.956149598,9445.959070676,0,1
274,5828,9446.056139617,9446.058018926,0,1
275,5828,9446.156140956,9446.159181889,0,1
276,5828,9446.256142185,9446.258864303,0,1
277,5828,9446.356138455,9446.357718900,0,1
278,5828,9446.456138886,9446.457823128,0,1
279,5828,9446.556138617,9446.558115060,0,1
280,5828,9446.656141488,9446.658975867,0,1
281,5828,9446.756139074,9446.757840445,0,1
282,5828,9446.856139149,9446.858383150,0,1
283,5828,9446.956138944,9446.958615991,0,1
284,5828,9447.056136815,9447.057685139,0,1
285,5828,9447.156139729,9447.158497973,0,1
286,5828,9447.256137589,9447.258129759,0,1
287,5828,9447.356140917,9447.359107360,0,1
288,5828,9447.456139779,9447.457892897,0,1
289,5828,9447.556138953,9447.558139337,0,1
290,5828,9447.656140209,9447.658035319,0,1
291,5828,9447.756139793,9447.758439286,0,1
292,5828,9447.856142932,9447.858630372,0,1
293,5828,9447.956174351,9447.957837345,0,1
294,5828,9448.056138644,9448.057811376,0,1
295,5828,9448.156137949,9448.157809741,0,1
296,5828,9448.256137839,9448.258248612,0,1
297,5828,9448.356139198,9448.358306932,0,1
298,5828,9448.456139199,9448.456140509,0,0
299,5828,9448.556140228,9448.558986758,0,1
300,5828,9448.656138051,9448.658364545,0,1
301,5828,9448.756138052,9448.757725128,0,1
302,5828,9448.856137558,9448.858468745,0,1
303,5828,9448.956137291,9448.958466921,0,1
304,5828,9449.056141205,9449.057997556,0,1
305,5828,9449.156139618,9449.158250760,0,1
306,5828,9449.256139591,9449.258150874,0,1
307,5828,9449.356140472,9449.359043266,0,1
308,5828,9449.456139557,9449.458890182,0,1
309,5828,9449.556139402,9449.559527987,0,1
310,5828,9449.656137623,9449.657666569,0,1
311,5828,9449.756168690,9449.757925093,0,1
312,5828,9449.856138934,9449.859229482,0,1
313,5828,9449.956139695,9449.958277694,0,1
314,5828,9450.056141284,9450.057885510,0,1
315,5828,9450.156138832,9450.158008846,0,1
316,5828,9450.256139291,9450.258695931,0,1
317,5828,9450.356140535,9450.358707761,0,1
