iter,PID,start,end,instance,activation
0,20989,4243.561978846,4243.562032274,6066,1
1,20989,4243.661965709,4243.662043930,6067,1
2,20989,4243.761973303,4243.762029991,6068,1
3,20989,4243.861973278,4243.862017682,6069,1
4,20989,4243.961995220,4243.962037463,6070,1
5,20989,4244.062001159,4244.062056162,6071,1
6,20989,4244.161971938,4244.163839596,6072,1
7,20989,4244.262013035,4244.262052875,6073,1
8,20989,4244.361973803,4244.362013657,6074,1
9,20989,4244.461973074,4244.462038400,6075,1
10,20989,4244.561969477,4244.562005342,6076,1
11,20989,4244.661995067,4244.662027622,6077,1
12,20989,4244.762000169,4244.762095578,6078,1
13,20989,4244.862000902,4244.862070074,6079,1
14,20989,4244.961973978,4244.962011802,6080,1
15,20989,4245.061996227,4245.062030316,6081,1
16,20989,4245.161994831,4245.162488200,6082,1
17,20989,4245.261974737,4245.262037486,6083,1
18,20989,4245.361973389,4245.362027689,6084,1
19,20989,4245.461972485,4245.462032267,6085,1
20,20989,4245.561994821,4245.562024491,6086,1
21,20989,4245.661971840,4245.662030876,6087,1
22,20989,4245.761971555,4245.762035595,6088,1
23,20989,4245.861971869,4245.862013184,6089,1
24,20989,4245.961971097,4245.962011104,6090,1
25,20989,4246.061973729,4246.062048287,6091,1
26,20989,4246.161971881,4246.162392170,6092,1
27,20989,4246.261971974,4246.262033371,6093,1
28,20989,4246.361973203,4246.362047147,6094,1
29,20989,4246.462000323,4246.462036701,6095,1
30,20989,4246.562002955,4246.562042608,6096,1
31,20989,4246.661973750,4246.662048801,6097,1
32,20989,4246.761973332,4246.762033889,6098,1
33,20989,4246.861973469,4246.862008172,6099,1
34,20989,4246.961973874,4246.962024222,6100,1
35,20989,4247.061972700,4247.062032021,6101,1
36,20989,4247.161972518,4247.162453113,6102,1
37,20989,4247.261972007,4247.262038181,6103,1
38,20989,4247.361972649,4247.362030265,6104,1
39,20989,4247.461971662,4247.462039251,6105,1
40,20989,4247.561971283,4247.562022830,6106,1
41,20989,4247.661976899,4247.662050671,6107,1
42,20989,4247.761971106,4247.762007294,6108,1
43,20989,4247.861979807,4247.862017462,6109,1
44,20989,4247.961971494,4247.962011173,6110,1
45,20989,4248.061969413,4248.062006190,6111,1
46,20989,4248.161972061,4248.162563628,6112,1
47,20989,4248.261973711,4248.262016631,6113,1
48,20989,4248.361972990,4248.362026193,6114,1
49,20989,4248.461972387,4248.462043043,6115,1
50,20989,4248.561972903,4248.562010207,6116,1
51,20989,4248.661970365,4248.662005231,6117,1
52,20989,4248.761969726,4248.762004309,6118,1
