iter,PID,start,end,instance,activation
0,20995,4243.574838312,4243.574885528,6066,1
1,20995,4243.674834587,4243.674890546,6067,1
2,20995,4243.774834861,4243.774871195,6068,1
3,20995,4243.874831614,4243.874863438,6069,1
4,20995,4243.974831305,4243.974865128,6070,1
5,20995,4244.074833720,4244.074865468,6071,1
6,20995,4244.174833003,4244.177121331,6072,1
7,20995,4244.274832890,4244.274865745,6073,1
8,20995,4244.374832117,4244.374877134,6074,1
9,20995,4244.474862042,4244.474895618,6075,1
10,20995,4244.574833674,4244.574877270,6076,1
11,20995,4244.674859784,4244.674896405,6077,1
12,20995,4244.774834137,4244.774885717,6078,1
13,20995,4244.874834709,4244.874888377,6079,1
14,20995,4244.974831822,4244.974876772,6080,1
15,20995,4245.074833081,4245.074876220,6081,1
16,20995,4245.174831165,4245.175273564,6082,1
17,20995,4245.274830423,4245.274864332,6083,1
18,20995,4245.374830863,4245.374865614,6084,1
19,20995,4245.474832055,4245.474865011,6085,1
20,20995,4245.574830535,4245.574864755,6086,1
21,20995,4245.674832767,4245.674871538,6087,1
22,20995,4245.774834352,4245.774873426,6088,1
23,20995,4245.874833389,4245.874868552,6089,1
24,20995,4245.974834378,4245.974867920,6090,1
25,20995,4246.074831340,4246.074865695,6091,1
26,20995,4246.174834273,4246.175292719,6092,1
27,20995,4246.274831081,4246.274862589,6093,1
28,20995,4246.374831989,4246.374874245,6094,1
29,20995,4246.474809982,4246.474854050,6095,1
30,20995,4246.574835964,4246.574877142,6096,1
31,20995,4246.674834060,4246.674882395,6097,1
32,20995,4246.774906908,4246.774957282,6098,1
33,20995,4246.874834146,4246.874886584,6099,1
34,20995,4246.974835037,4246.974885442,6100,1
35,20995,4247.074834934,4247.074882299,6101,1
36,20995,4247.174835237,4247.175346552,6102,1
37,20995,4247.274830995,4247.274864756,6103,1
38,20995,4247.374831082,4247.374866263,6104,1
39,20995,4247.474833322,4247.474882725,6105,1
40,20995,4247.574833821,4247.574887029,6106,1
41,20995,4247.674847415,4247.674881313,6107,1
42,20995,4247.774832048,4247.774868156,6108,1
43,20995,4247.874833568,4247.874876586,6109,1
44,20995,4247.974834675,4247.974881590,6110,1
45,20995,4248.074833255,4248.074888751,6111,1
46,20995,4248.174834182,4248.175411119,6112,1
47,20995,4248.274833261,4248.274866896,6113,1
48,20995,4248.374831280,4248.374866905,6114,1
49,20995,4248.474832058,4248.474864019,6115,1
50,20995,4248.574835187,4248.574878747,6116,1
51,20995,4248.674831054,4248.674863508,6117,1
52,20995,4248.774823272,4248.774869320,6118,1
53,20995,4248.874835014,4248.874877979,6119,1
54,20995,4248.974835051,4248.974875811,6120,1
55,20995,4249.074831750,4249.074879856,6121,1
56,20995,4249.174833690,4249.175376383,6122,1
