iter,PID,start,end,instance,activation
0,9197,3630.229122976,3630.229126443,0,1
1,9197,3630.329115300,3630.329147544,0,1
2,9197,3630.429117763,3630.429152519,0,1
3,9197,3630.529139975,3630.529161615,0,1
4,9197,3630.629116230,3630.629145513,0,1
5,9197,3630.729114364,3630.729117408,0,0
6,9197,3630.829118210,3630.829152618,0,1
7,9197,3630.929116542,3630.929156197,0,1
8,9197,3631.029116925,3631.029149057,0,1
9,9197,3631.129114238,3631.129139064,0,1
10,9197,3631.229149998,3631.229171862,0,1
11,9197,3631.329113349,3631.329137200,0,1
12,9197,3631.429115495,3631.429149810,0,1
13,9197,3631.529144571,3631.529165432,0,1
14,9197,3631.629115545,3631.629147805,0,1
15,9197,3631.729115360,3631.729137628,0,1
16,9197,3631.829114324,3631.829142990,0,1
17,9197,3631.929114022,3631.929139502,0,1
18,9197,3632.029137638,3632.029159535,0,1
19,9197,3632.129117419,3632.129152311,0,1
20,9197,3632.229137567,3632.229160857,0,1
21,9197,3632.329115384,3632.329147120,0,1
22,9197,3632.429115162,3632.429146356,0,1
23,9197,3632.529114207,3632.529115923,0,0
24,9197,3632.629241616,3632.629267736,0,1
25,9197,3632.729115044,3632.729137024,0,1
26,9197,3632.829115682,3632.829142719,0,1
27,9197,3632.929114074,3632.929136301,0,1
28,9197,3633.029115450,3633.029150663,0,1
29,9197,3633.129116190,3633.129151264,0,1
30,9197,3633.229144481,3633.229168597,0,1
31,9197,3633.329113390,3633.329134845,0,1
32,9197,3633.429113655,3633.429137021,0,1
33,9197,3633.529117669,3633.529153474,0,1
34,9197,3633.629115698,3633.629147927,0,1
35,9197,3633.729115301,3633.729140233,0,1
36,9197,3633.829112260,3633.829135455,0,1
37,9197,3633.929115950,3633.929153243,0,1
38,9197,3634.029114876,3634.029148135,0,1
39,9197,3634.129214765,3634.129236217,0,1
40,9197,3634.229115537,3634.229152148,0,1
41,9197,3634.329116910,3634.329145954,0,1
42,9197,3634.429115616,3634.429148749,0,1
43,9197,3634.529115578,3634.529149651,0,1
44,9197,3634.629116212,3634.629149384,0,1
45,9197,3634.729116920,3634.729153299,0,1
46,9197,3634.829116070,3634.829155001,0,1
47,9197,3634.929114825,3634.929148924,0,1
48,9197,3635.029140881,3635.029168099,0,1
49,9197,3635.129143074,3635.129145028,0,0
50,9197,3635.229117362,3635.229157291,0,1
51,9197,3635.329140951,3635.329142210,0,0
52,9197,3635.429114966,3635.429151434,0,1
53,9197,3635.529115923,3635.529151359,0,1
54,9197,3635.629114712,3635.629145815,0,1
55,9197,3635.729117713,3635.729152540,0,1
56,9197,3635.829116444,3635.829150482,0,1
57,9197,3635.929114562,3635.929139234,0,1
58,9197,3636.029137507,3636.029139543,0,0
59,9197,3636.129113165,3636.129141142,0,1
60,9197,3636.229142182,3636.229165026,0,1
61,9197,3636.329114401,3636.329141440,0,1
62,9197,3636.429113358,3636.429136336,0,1
63,9197,3636.529112088,3636.529134682,0,1
64,9197,3636.629141437,3636.629162828,0,1
65,9197,3636.729125096,3636.729146067,0,1
66,9197,3636.829115337,3636.829148561,0,1
67,9197,3636.929145669,3636.929167691,0,1
68,9197,3637.029112577,3637.029133540,0,1
69,9197,3637.129137551,3637.129158760,0,1
70,9197,3637.229115987,3637.229143962,0,1
71,9197,3637.329115416,3637.329149518,0,1
72,9197,3637.429115277,3637.429151759,0,1
73,9197,3637.529114304,3637.529146072,0,1
74,9197,3637.629116608,3637.629149217,0,1
75,9197,3637.729115425,3637.729141369,0,1
76,9197,3637.829114254,3637.829142774,0,1
77,9197,3637.929113976,3637.929141099,0,1
78,9197,3638.029117361,3638.029146571,0,1
79,9197,3638.129114381,3638.129136599,0,1
80,9197,3638.229112967,3638.229135716,0,1
81,9197,3638.329115402,3638.329141237,0,1
82,9197,3638.429113120,3638.429135823,0,1
83,9197,3638.529116830,3638.529150412,0,1
84,9197,3638.629116983,3638.629155602,0,1
85,9197,3638.729117260,3638.729153120,0,1
86,9197,3638.829154667,3638.829177064,0,1
87,9197,3638.929113552,3638.929137519,0,1
88,9197,3639.029115869,3639.029147007,0,1
89,9197,3639.129138102,3639.129162404,0,1
90,9197,3639.229114655,3639.229139098,0,1
91,9197,3639.329114649,3639.329138802,0,1
92,9197,3639.429113938,3639.429141753,0,1
93,9197,3639.529116544,3639.529146350,0,1
94,9197,3639.629144590,3639.629169465,0,1
95,9197,3639.729143646,3639.729166083,0,1
96,9197,3639.829139833,3639.829162169,0,1
97,9197,3639.929113705,3639.929135698,0,1
98,9197,3640.029113143,3640.029134477,0,1
99,9197,3640.129112878,3640.129137200,0,1
100,9197,3640.229115273,3640.229139040,0,1
101,9197,3640.329113110,3640.329136784,0,1
102,9197,3640.429139799,3640.429162366,0,1
103,9197,3640.529112588,3640.529139042,0,1
104,9197,3640.629113007,3640.629138412,0,1
105,9197,3640.729142949,3640.729163251,0,1
106,9197,3640.829114697,3640.829147567,0,1
107,9197,3640.929139621,3640.929161420,0,1
108,9197,3641.029115601,3641.029143333,0,1
109,9197,3641.129114460,3641.129140618,0,1
110,9197,3641.229115137,3641.229143967,0,1
111,9197,3641.329115314,3641.329141462,0,1
112,9197,3641.429116272,3641.429144261,0,1
113,9197,3641.529113193,3641.529138542,0,1
114,9197,3641.629114756,3641.629140194,0,1
115,9197,3641.729117198,3641.729144990,0,1
116,9197,3641.829114840,3641.829137358,0,1
117,9197,3641.929113656,3641.929136831,0,1
118,9197,3642.029113077,3642.029221591,0,1
119,9197,3642.129115329,3642.129150080,0,1
120,9197,3642.229116466,3642.229138492,0,1
121,9197,3642.329113108,3642.329133888,0,1
122,9197,3642.429147803,3642.429172091,0,1
123,9197,3642.529114177,3642.529137793,0,1
124,9197,3642.629112646,3642.629134785,0,1
125,9197,3642.729112315,3642.729137790,0,1
126,9197,3642.829115130,3642.829147091,0,1
127,9197,3642.929115517,3642.929152536,0,1
128,9197,3643.029108224,3643.029138144,0,1
129,9197,3643.129118218,3643.129147245,0,1
130,9197,3643.229115714,3643.229140313,0,1
131,9197,3643.329118381,3643.329148026,0,1
132,9197,3643.429113570,3643.429143368,0,1
133,9197,3643.529115968,3643.529150740,0,1
134,9197,3643.629160032,3643.629181386,0,1
135,9197,3643.729113890,3643.729135899,0,1
136,9197,3643.829113872,3643.829134354,0,1
137,9197,3643.929113781,3643.929135412,0,1
138,9197,3644.029115018,3644.029143084,0,1
139,9197,3644.129115139,3644.129141160,0,1
140,9197,3644.229144019,3644.229170302,0,1
141,9197,3644.329116096,3644.329152842,0,1
142,9197,3644.429115652,3644.429151573,0,1
143,9197,3644.529119208,3644.529156786,0,1
144,9197,3644.629139964,3644.629167401,0,1
145,9197,3644.729143549,3644.729164461,0,1
146,9197,3644.829142020,3644.829166647,0,1
147,9197,3644.929113146,3644.929135031,0,1
148,9197,3645.029142427,3645.029165365,0,1
149,9197,3645.129112994,3645.129141191,0,1
150,9197,3645.229116720,3645.229150785,0,1
151,9197,3645.329114431,3645.329140652,0,1
152,9197,3645.429117974,3645.429154303,0,1
153,9197,3645.529117174,3645.529158127,0,1
154,9197,3645.629116273,3645.629157685,0,1
155,9197,3645.729146093,3645.729174155,0,1
156,9197,3645.829115775,3645.829149955,0,1
157,9197,3645.929116140,3645.929152054,0,1
158,9197,3646.029118493,3646.029148167,0,1
159,9197,3646.129114913,3646.129136137,0,1
160,9197,3646.229113586,3646.229136526,0,1
161,9197,3646.329114413,3646.329137176,0,1
162,9197,3646.429116509,3646.429140286,0,1
163,9197,3646.529112812,3646.529135397,0,1
164,9197,3646.629137796,3646.629163287,0,1
165,9197,3646.729115772,3646.729149918,0,1
166,9197,3646.829115950,3646.829141161,0,1
167,9197,3646.929114111,3646.929141145,0,1
168,9197,3647.029114768,3647.029139006,0,1
169,9197,3647.129114189,3647.129141080,0,1
170,9197,3647.229114173,3647.229141337,0,1
171,9197,3647.329114464,3647.329138391,0,1
172,9197,3647.429114441,3647.429142060,0,1
173,9197,3647.529113666,3647.529142176,0,1
174,9197,3647.629115747,3647.629137401,0,1
175,9197,3647.729142062,3647.729163712,0,1
176,9197,3647.829115289,3647.829137705,0,1
177,9197,3647.929099640,3647.929122758,0,1
178,9197,3648.029116476,3648.029142610,0,1
179,9197,3648.129114504,3648.129138717,0,1
180,9197,3648.229139589,3648.229161334,0,1
181,9197,3648.329114181,3648.329136021,0,1
182,9197,3648.429115419,3648.429137223,0,1
183,9197,3648.529141095,3648.529164223,0,1
184,9197,3648.629114584,3648.629117353,0,0
185,9197,3648.729118813,3648.729143283,0,1
186,9197,3648.829114582,3648.829117089,0,0
187,9197,3648.929116047,3648.929141500,0,1
188,9197,3649.029118056,3649.029152378,0,1
189,9197,3649.129115546,3649.129153943,0,1
190,9197,3649.229116016,3649.229153366,0,1
191,9197,3649.329116597,3649.329149402,0,1
192,9197,3649.429113793,3649.429137905,0,1
193,9197,3649.529113537,3649.529135888,0,1
194,9197,3649.629113221,3649.629135994,0,1
195,9197,3649.729067946,3649.729101997,0,1
196,9197,3649.829115418,3649.829148547,0,1
197,9197,3649.929085029,3649.929114468,0,1
198,9197,3650.029143587,3650.029165562,0,1
199,9197,3650.129117012,3650.129153112,0,1
200,9197,3650.229117839,3650.229154318,0,1
201,9197,3650.329117763,3650.329154184,0,1
202,9197,3650.429117408,3650.429154521,0,1
203,9197,3650.529114094,3650.529137434,0,1
204,9197,3650.629080604,3650.629109050,0,1
205,9197,3650.729116196,3650.729143792,0,1
206,9197,3650.829114623,3650.829138264,0,1
207,9197,3650.929114745,3650.929137566,0,1
208,9197,3651.029139959,3651.029163044,0,1
209,9197,3651.129113840,3651.129137693,0,1
210,9197,3651.229116212,3651.229151038,0,1
211,9197,3651.329115297,3651.329150566,0,1
212,9197,3651.429114030,3651.429135265,0,1
213,9197,3651.529116827,3651.529146635,0,1
214,9197,3651.629116181,3651.629147452,0,1
215,9197,3651.729108690,3651.729133075,0,1
216,9197,3651.829115324,3651.829139525,0,1
217,9197,3651.929115962,3651.929138551,0,1
218,9197,3652.029145639,3652.029168302,0,1
219,9197,3652.129118013,3652.129152378,0,1
220,9197,3652.229116223,3652.229149544,0,1
221,9197,3652.329117248,3652.329151003,0,1
222,9197,3652.429162873,3652.429309679,0,1
223,9197,3652.529115700,3652.529138670,0,1
224,9197,3652.629118516,3652.629157788,0,1
225,9197,3652.729116342,3652.729148668,0,1
226,9197,3652.829114327,3652.829136704,0,1
227,9197,3652.929115726,3652.929152087,0,1
228,9197,3653.029118151,3653.029156635,0,1
